
Connected to: Oracle Database 11g Enterprise Edition Release 11.1.0.6.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

Export file created by EXPORT:V10.02.01 via conventional path

Warning: the objects were exported by ADV9_TRAIN, not by you

import done in WE8MSWIN1252 character set and AL16UTF16 NCHAR character set
. . importing table     "EVENT_ENTITY_RESTRICTION"          5 rows imported
. . importing table                    "EVENT_FEE"          7 rows imported
. . importing table                "EVENT_HONOREE"          6 rows imported
. . importing table             "EVENT_INVITATION"         10 rows imported
. . importing table           "EVENT_ORGANIZATION"          4 rows imported
. . importing table              "EVENT_ORGANIZER"          9 rows imported
. . importing table            "EVENT_PARTICIPANT"         28 rows imported
. . importing table     "EVENT_PARTICIPANT_INVITE"        284 rows imported
. . importing table       "EVENT_PARTICIPANT_NOTE"          3 rows imported
. . importing table           "EVENT_REGISTRATION"         24 rows imported
. . importing table                "EVENT_SPONSOR"         13 rows imported
. . importing table              "EVENT_VOLUNTEER"         12 rows imported
. . importing table                     "FEEDBACK"          0 rows imported
. . importing table                "FORMER_SPOUSE"         27 rows imported
. . importing table              "FUNDING_PURPOSE"         34 rows imported
. . importing table   "FUNDING_PURPOSE_ALLOCATION"          0 rows imported
. . importing table                     "GEO_CODE"          8 rows imported
. . importing table                     "GEO_TYPE"          5 rows imported
. . importing table                      "GEO_ZIP"          9 rows imported
. . importing table                         "GIFT"        760 rows imported
. . importing table                     "GIFT_ACK"         37 rows imported
. . importing table                   "GIFT_CLUBS"         42 rows imported
. . importing table              "GIFT_CLUB_TABLE"          4 rows imported
. . importing table                   "GIFT_CODES"          3 rows imported
. . importing table     "GIFT_FINANCIAL_INTERFACE"          0 rows imported
. . importing table "GIFT_FINANCIAL_INTERFACE_AUDIT"          0 rows imported
. . importing table "GIFT_FINANCIAL_INTERFACE_MSG"          0 rows imported
. . importing table                 "GIFT_PREMIUM"         12 rows imported
. . importing table        "GIFT_PREMIUM_REVERSAL"          3 rows imported
. . importing table                "GIFT_REVERSAL"         56 rows imported
. . importing table                 "GIFT_REV_ACK"          5 rows imported
. . importing table               "GIFT_REV_CODES"          0 rows imported
. . importing table             "GIFT_TENDER_TYPE"         70 rows imported
. . importing table    "GIFT_TENDER_TYPE_REVERSAL"          1 rows imported
. . importing table                 "GIVING_CODES"          3 rows imported
. . importing table            "GIVING_CODE_TYPES"          2 rows imported
. . importing table                 "GIVING_TOTAL"        609 rows imported
. . importing table                         "GOAL"          2 rows imported
. . importing table                     "HANDLING"          5 rows imported
. . importing table           "HISTORICAL_SUMMARY"          0 rows imported
. . importing table                     "IDS_BASE"         26 rows imported
. . importing table            "IMODULES_DOWNLOAD"          0 rows imported
. . importing table             "IMODULES_MAPPING"        122 rows imported
. . importing table            "IMODULES_MESSAGES"         18 rows imported
. . importing table              "IMODULES_UPLOAD"          0 rows imported
. . importing table                  "INSTITUTION"       4057 rows imported
. . importing table                   "INSTRUMENT"          9 rows imported
. . importing table                  "INST_SUFFIX"         21 rows imported
. . importing table                     "INTEREST"         23 rows imported
. . importing table           "LDR_BATCH_APP_TYPE"         12 rows imported
. . importing table               "LDR_BATCH_CLOB"          0 rows imported
. . importing table               "LDR_BATCH_DATA"          0 rows imported
. . importing table             "LDR_BATCH_DETAIL"          0 rows imported
. . importing table          "LDR_BATCH_ERROR_LOG"          0 rows imported
. . importing table             "LDR_BATCH_HEADER"          0 rows imported
. . importing table "LDR_BATCH_MASS_UPDATE_DETAIL"          0 rows imported
. . importing table "LDR_BATCH_MASS_UPDATE_HEADER"          0 rows imported
. . importing table             "LDR_BATCH_TABLES"         56 rows imported
. . importing table                     "LDR_XREF"          0 rows imported
. . importing table                  "LIST_DETAIL"        212 rows imported
. . importing table                  "LIST_HEADER"         25 rows imported
. . importing table           "LIST_HEADER_RIGHTS"          8 rows imported
. . importing table                 "MAILING_LIST"         25 rows imported
. . importing table               "MAIL_DIST_LIST"          0 rows imported
. . importing table               "MATCHING_CLAIM"        190 rows imported
. . importing table       "MATCHING_CLAIM_HISTORY"          0 rows imported
. . importing table                "MATCHING_GIFT"        118 rows imported
. . importing table       "MATCHING_GIFT_REVERSAL"          7 rows imported
. . importing table              "MATCHING_POLICY"         26 rows imported
. . importing table                    "MATCH_ACK"          3 rows imported
. . importing table             "MATCH_GIFT_CODES"          0 rows imported
. . importing table                "MATCH_REV_ACK"          0 rows imported
. . importing table              "MATCH_REV_CODES"          0 rows imported
. . importing table                         "MEMB"        101 rows imported
. . importing table                     "MEMB_ACK"         18 rows imported
. . importing table                 "MEMB_ACK_REV"          1 rows imported
. . importing table                  "MEMB_APPEAL"          3 rows imported
. . importing table          "MEMB_APPEALS_HEADER"          3 rows imported
. . importing table               "MEMB_BATCH_ACK"         19 rows imported
. . importing table              "MEMB_BATCH_CLUB"         60 rows imported
. . importing table           "MEMB_BATCH_CONTROL"         35 rows imported
. . importing table            "MEMB_BATCH_ENTITY"        119 rows imported
. . importing table             "MEMB_BATCH_ENTRY"        106 rows imported
. . importing table           "MEMB_BATCH_PAYMENT"         91 rows imported
. . importing table       "MEMB_BATCH_PAYMENT_ACK"          2 rows imported
. . importing table      "MEMB_BATCH_PAYMENT_CLUB"         26 rows imported
. . importing table      "MEMB_BATCH_PAY_SCHEDULE"        227 rows imported
. . importing table           "MEMB_BATCH_PREMIUM"         13 rows imported
. . importing table                    "MEMB_CLUB"         58 rows imported
. . importing table                "MEMB_CLUB_REV"          2 rows imported
. . importing table                  "MEMB_ENTITY"        113 rows imported
. . importing table              "MEMB_ENTITY_REV"          4 rows imported
. . importing table            "MEMB_PAY_SCHEDULE"        224 rows imported
. . importing table                 "MEMB_PREMIUM"         12 rows imported
. . importing table             "MEMB_PREMIUM_REV"          1 rows imported
. . importing table                     "MEMB_REV"          3 rows imported
. . importing table                  "MEMB_TOTALS"         57 rows imported
. . importing table                       "MENTOR"          0 rows imported
. . importing table                         "NAME"        570 rows imported
. . importing table             "ND_UNIV_BENEFITS"          2 rows imported
. . importing table                        "NOTES"         61 rows imported
. . importing table             "NOTES_ATTACHMENT"          3 rows imported
. . importing table             "ORG_RELATIONSHIP"         23 rows imported
. . importing table "OTHER_PHILANTHROPIC_AFFINITY"         15 rows imported
. . importing table                 "PAST_ADDRESS"         62 rows imported
. . importing table             "PAST_ADDRESS_GEO"         10 rows imported
. . importing table           "PAST_ADDRESS_LABEL"         62 rows imported
. . importing table   "PAST_DOCUMENT_BATCH_DETAIL"          0 rows imported
